# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false       date             5   thrpt    10      113710.600 ±     157075.934        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false       date             5   thrpt    10      148406.300 ±     291161.629        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.desiredSurvivorSize                                   false       date             5   thrpt    10      104857.600 ±     334210.013        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false       date             5   thrpt    10          48.700 ±        803.705        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false       date             5   thrpt    10       18848.000 ±     118385.728        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fastWaste                                               false       date             5   thrpt    10           0.300 ±          7.305        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false       date             5   thrpt    10          40.100 ±        114.851        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFastWaste                                            false       date             5   thrpt    10           0.200 ±          3.090        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false       date             5   thrpt    10           4.600 ±         13.222        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false       date             5   thrpt    10          23.700 ±         47.033        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false       date             5   thrpt    10         606.400 ±        932.589        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false       date             5   thrpt    10          58.500 ±          5.578  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false       date             5   thrpt    10          57.500 ±          5.578  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false       date             5   thrpt    10          62.000                   threads
Benchmark.runApache_withoutThreads                                                                            false       date            10   thrpt    10           0.291 ±          0.005   ops/ms
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false       date            10   thrpt    10           1.800 ±          0.637        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false       date            10   thrpt    10  1170087598.400 ±  426927689.383        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false       date            10   thrpt    10  1169491957.100 ±  426627543.485        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false       date            10   thrpt    10     6845780.200 ±    5075235.411        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false       date            10   thrpt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.1.used                                    false       date            10   thrpt    10      144179.200 ±     529051.323        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.2.capacity                                false       date            10   thrpt    10      104857.600 ±    2386736.888        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false       date            10   thrpt    10      427772.000 ±    1023549.653        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false       date            10   thrpt    10        8742.400 ±       8138.031        ?
